Rank,Username,Tiktok Link,Name,Subscribers Count,Views. Avg,Likes. Avg,Comments. Avg,Shares. Avg
76,jdpantoja,https://www.tiktok.com/@jdpantoja,JD Pantoja,29.2M,5.4M,816.3K,6.7K,1.4K
77,_.the.meme.hub._,https://www.tiktok.com/@_.the.meme.hub._,RANDOM MEMES,2.3M,3.8M,787.7K,2.9K,9K
78,ssmaaaryy,https://www.tiktok.com/@ssmaaaryy,Razi Monroe,8.6M,7.4M,717.1K,3.1K,3.5K
79,tacticaltaz,https://www.tiktok.com/@tacticaltaz,k9tacticaltaz,1.3M,3.4M,390K,3.1K,23K
80,deborahyowa,https://www.tiktok.com/@deborahyowa,Deborah yowa,15.1M,8M,415.8K,6.8K,3.4K
81,leanadeeb,https://www.tiktok.com/@leanadeeb,Leana Deeb,8.1M,6.3M,991.5K,2.2K,3.1K
82,rubentuestaok,https://www.tiktok.com/@rubentuestaok,Ruben Tuesta,18.1M,6.8M,769.5K,1.5K,4.8K
83,darianrojasc,https://www.tiktok.com/@darianrojasc,D A R I A NR O J A S,30.5M,6.5M,1M,4.2K,574
84,.jmwalton,https://www.tiktok.com/@.jmwalton,𝙅 ⚡️,1.6M,3.5M,483.3K,15.8K,3K
85,im_java,https://www.tiktok.com/@im_java,I'M JAVA,58.2K,5.5M,632.6K,1.2K,7.9K
86,seventeen17_official,https://www.tiktok.com/@seventeen17_official,SEVENTEEN,5.1M,2.3M,658K,10.1K,10.8K
87,chinguamiga,https://www.tiktok.com/@chinguamiga,Chingu Amiga,18.9M,7.4M,1.1M,3K,782
88,larrayeeee,https://www.tiktok.com/@larrayeeee,LARRAY,26M,3.1M,760.5K,10.1K,3.1K
89,sharl_crb,https://www.tiktok.com/@sharl_crb,sharl,1.9M,4.9M,819.6K,5.3K,2.4K
90,vhackerr,https://www.tiktok.com/@vhackerr,Vinnie,14.5M,4M,613.1K,7.2K,5.2K
91,charlieputh,https://www.tiktok.com/@charlieputh,Charlie Puth,17.9M,5.1M,583.9K,7.1K,3.1K
92,nicollefigueroaa,https://www.tiktok.com/@nicollefigueroaa,Nicolle Figueroa,11.6M,7.6M,970.6K,3.3K,731
93,max7424453118,https://www.tiktok.com/@max7424453118,Max Taylor,2.8M,3.5M,572.6K,5.2K,9.5K
94,hikakin,https://www.tiktok.com/@hikakin,HIKAKIN ヒカキン公式,1.6M,5.2M,461K,4.4K,7.8K
95,foilarmsandhog,https://www.tiktok.com/@foilarmsandhog,Foil Arms & Hog,509.7K,3.6M,379.5K,1.5K,19.7K
96,qamar_altaey,https://www.tiktok.com/@qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3.3M,3.6M,316.2K,12.2K,12.8K
97,yk_osiris,https://www.tiktok.com/@yk_osiris,YK Osiris,1.9M,4M,449.1K,5.2K,10.4K
98,nolaymex,https://www.tiktok.com/@nolaymex,Nolay,91.7K,8.4M,658K,1.9K,3.2K
99,annajobling,https://www.tiktok.com/@annajobling,anna jobling,581.4K,4.7M,565.4K,7.1K,3.2K
100,kanebrown,https://www.tiktok.com/@kanebrown,Kane Brown,4.8M,2.8M,462.5K,8.8K,12.8K
101,nolaymex,https://www.tiktok.com/@nolaymex,Nolay,91.7K,8.4M,658K,1.9K,3.2K
102,annajobling,https://www.tiktok.com/@annajobling,anna jobling,581.4K,4.7M,565.4K,7.1K,3.2K
103,kanebrown,https://www.tiktok.com/@kanebrown,Kane Brown,4.8M,2.8M,462.5K,8.8K,12.8K
104,datdo0803,https://www.tiktok.com/@datdo0803,Đỗ Đạt,7M,8.6M,708.8K,3.1K,1.4K
105,kervo.dolo,https://www.tiktok.com/@kervo.dolo,Kervo.dolo,9.9M,4.3M,795.3K,3.3K,4.6K
106,jebbi.swag,https://www.tiktok.com/@jebbi.swag,Jessi ;),6.8K,2.3M,569.1K,7.7K,13.1K
107,gabrielabee,https://www.tiktok.com/@gabrielabee,GABI BEE,9.9M,3.8M,772K,7.6K,1.4K
108,hayleygeorgiamorris,https://www.tiktok.com/@hayleygeorgiamorris,Hayley Morris,3.2M,4.5M,463.4K,1.8K,10.8K
109,jaykindafunny8,https://www.tiktok.com/@jaykindafunny8,Jaykindafunny,24.1M,7.4M,566.8K,4.1K,2.1K
110,datvilla94,https://www.tiktok.com/@datvilla94,🔥Đạt Villa🔥,7M,5.1M,418.4K,8.7K,3.5K
111,jennyhan,https://www.tiktok.com/@jennyhan,Jenny Han,1.3M,4.5M,693.9K,4.8K,3.4K
112,dj_hyo,https://www.tiktok.com/@dj_hyo,Hyoyeon_djhyo,1.7M,3.8M,703.1K,5.8K,3.6K
113,comedy_tv08,https://www.tiktok.com/@comedy_tv08,Ukplug 🇬🇧 🔌,807.3K,4.9M,572.9K,2.1K,6.8K
114,albertinasacaca,https://www.tiktok.com/@albertinasacaca,Albertina sacaca1,2.1M,6.5M,840.2K,3.5K,967
115,oldtimehawkey,https://www.tiktok.com/@oldtimehawkey,Old Time Hawkey,5.9M,3.9M,590.2K,5.9K,4.6K
116,parker_loves_arda,https://www.tiktok.com/@parker_loves_arda,Parker_hazel,50K,3.4M,428.4K,3.8K,12.3K
117,maiaknight,https://www.tiktok.com/@maiaknight,Maia Knight,8.7M,6.5M,1.1M,2.1K,1.1K
118,wuesilva,https://www.tiktok.com/@wuesilva,Wue Silva,12.6M,4.5M,758.9K,2.9K,3.8K
119,gambi,https://www.tiktok.com/@gambi,Gambi,768.4K,4M,677.2K,5.3K,3K
120,gingerbilly1,https://www.tiktok.com/@gingerbilly1,GingerBilly1,6M,2.4M,264.5K,4.5K,30.3K
121,thallyssonsb,https://www.tiktok.com/@thallyssonsb,Thallysson Borges,9.8M,3.2M,488.2K,6K,8.3K
122,leyla.tavas,https://www.tiktok.com/@leyla.tavas,leyla ♡,793.6K,3.1M,730.3K,4.4K,5.1K
123,ive.official,https://www.tiktok.com/@ive.official,IVE.official,2.5M,2.8M,566.8K,9.7K,4K
124,trevorwallace,https://www.tiktok.com/@trevorwallace,trevor wallace,8.1M,3.4M,546.9K,1.6K,9.9K
125,ramonvitor,https://www.tiktok.com/@ramonvitor,ramonvitor,4.8M,4.4M,938.4K,3.8K,1.4K
126,mementoe,https://www.tiktok.com/@mementoe,Máté Méhész,3.6M,3.4M,588.5K,4.4K,5.8K
127,fanniraz,https://www.tiktok.com/@fanniraz,Fanny Ismiraz 😵‍💫,1.4M,6.2M,540.1K,3.7K,2.4K
128,parkerlocke,https://www.tiktok.com/@parkerlocke,Parker Locke,6.4M,2.9M,658.2K,5K,5.5K
129,sa_ro01,https://www.tiktok.com/@sa_ro01,sara💜,5.8M,4.9M,385.9K,8.2K,2.3K
130,investigador.forense,https://www.tiktok.com/@investigador.forense,Investigador Forense,5.4M,7.9M,457.5K,2.3K,3.1K
131,ostrichplug,https://www.tiktok.com/@ostrichplug,Urban Rescue Ranch,3.8M,2.4M,466K,8.4K,8.9K
132,sxmplyni,https://www.tiktok.com/@sxmplyni,Simply Ni🌱,2.5M,4.8M,629K,2.4K,4.1K
133,awildani13,https://www.tiktok.com/@awildani13,NgebisOnline,77.2K,3.7M,498.4K,5.9K,4.4K
134,joshdub,https://www.tiktok.com/@joshdub,Joshdub,10.3M,2.4M,373.6K,16.1K,5.5K
135,paansih16,https://www.tiktok.com/@paansih16,gustian_magrib,1.1M,2.9M,230.5K,1.2K,27.7K
136,initiaraandini,https://www.tiktok.com/@initiaraandini,tiara andini,4.9M,7.3M,615.4K,2.9K,1.3K
137,mdmotivator,https://www.tiktok.com/@mdmotivator,Zachery Dereniowski,9.7M,4.3M,753.4K,3.9K,1.9K
138,elrodcontreras,https://www.tiktok.com/@elrodcontreras,ROD🫠,41.4M,4.6M,637.1K,5.6K,831
139,therock,https://www.tiktok.com/@therock,The Rock,53.2M,3.6M,545.6K,7K,2.4K
140,xx_no_name_xx8,https://www.tiktok.com/@xx_no_name_xx8,xx_no_name_xx8,498.5K,2.3M,306.8K,24.6K,1.6K
141,kallmekris,https://www.tiktok.com/@kallmekris,Kris HC,44.7M,4.2M,675.8K,5.3K,1.2K
142,kyliejenner,https://www.tiktok.com/@kyliejenner,Kylie Jenner,41.5M,5.5M,725.5K,3.3K,1.3K
143,jaxwritessongs,https://www.tiktok.com/@jaxwritessongs,Jax,9.9M,3.7M,564.9K,4.8K,3.9K
144,williesalim,https://www.tiktok.com/@williesalim,WILLIE SALIM,13.7M,6.1M,397.5K,5.7K,1.7K
145,jake2curly,https://www.tiktok.com/@jake2curly,Jake,325.3K,3.2M,597.4K,1.6K,7.7K
146,talalionaire,https://www.tiktok.com/@talalionaire,طلاليونير,712.7K,4.7M,377.7K,5K,4.9K
147,garett__nolan,https://www.tiktok.com/@garett__nolan,garett nolan,13.4M,4.2M,337.1K,2.4K,10K
148,frankielapenna,https://www.tiktok.com/@frankielapenna,Frankie LaPenna,3.6M,6.8M,287.4K,1.7K,7.1K
149,theandrewschulz,https://www.tiktok.com/@theandrewschulz,Andrew Schulz,3.5M,3M,524.8K,1.2K,9.9K
150,cedriklorenzen,https://www.tiktok.com/@cedriklorenzen,Cedrik Lorenzen,2.6M,3.3M,310.4K,4.8K,12K
151,official_nct,https://www.tiktok.com/@official_nct,NCT Official,8.5M,2.3M,582K,8.3K,4.5K
152,incorrectlyroce,https://www.tiktok.com/@incorrectlyroce,Roce Ordoñez,6.9M,4.6M,745.8K,2.9K,2K
153,pkllipe,https://www.tiktok.com/@pkllipe,Pk,18.1M,3.8M,681.1K,2.6K,3.8K
154,jwaltonnn,https://www.tiktok.com/@jwaltonnn,ᴊ⚡️,733.4K,1.6M,350.9K,27K,2.5K
155,germangarmendia,https://www.tiktok.com/@germangarmendia,German Garmendia,17.7M,3.9M,611K,5K,1.9K
156,mix_151,https://www.tiktok.com/@mix_151,مكس _Mix,2M,5.7M,371.2K,4.2K,3.7K
157,thebenjishow,https://www.tiktok.com/@thebenjishow,benji,5.8M,3.3M,557.9K,2.9K,5.9K
158,lilyachty,https://www.tiktok.com/@lilyachty,lilyachty,7.9M,2.3M,445.9K,9.2K,6.2K
159,morimura,https://www.tiktok.com/@morimura,MoriMura🍕,7.5M,4.3M,622.8K,2.7K,3.2K
160,lera_valesta,https://www.tiktok.com/@lera_valesta,lera_valesta,630.1K,6M,583.1K,1.2K,3.3K
161,yungastroo,https://www.tiktok.com/@yungastroo,YUNG ASTROO,2.1M,2.2M,506.9K,3.2K,10.4K
162,krisjenner,https://www.tiktok.com/@krisjenner,Kris,2.9M,5M,430K,6.5K,626
163,veganpastrychef,https://www.tiktok.com/@veganpastrychef,Gracie,2.1M,3.5M,503.7K,3.1K,5.5K
164,mmmjoemele,https://www.tiktok.com/@mmmjoemele,Joe Mele,22.4M,4.9M,785K,2.8K,1.1K
165,notshanebennett,https://www.tiktok.com/@notshanebennett,Shane Bennett,2.4M,5.2M,953.4K,1.4K,1.6K
166,camimendes,https://www.tiktok.com/@camimendes,camila mendes,2.7M,4.4M,774.2K,2.6K,1.8K
167,bdylanhollis,https://www.tiktok.com/@bdylanhollis,B. Dylan Hollis,8.7M,2.8M,458.6K,2.9K,8.6K
168,smokingalex,https://www.tiktok.com/@smokingalex,Alexander Holtti,143.6K,2.3M,429.4K,2.4K,12.3K
169,aliciasaavedra_,https://www.tiktok.com/@aliciasaavedra_,@aliciastylish,386.4K,5.9M,226K,477,10.2K
170,lopanpasune,https://www.tiktok.com/@lopanpasune,PANN,314.7K,2.2M,329.1K,1K,18.5K
171,zachking,https://www.tiktok.com/@zachking,Zach King,68.9M,5.7M,552.9K,2.8K,1.7K
172,eastside_ivo,https://www.tiktok.com/@eastside_ivo,Uncle Ivo,1.3M,2.3M,370.7K,3.3K,12.9K
173,lukinhabast0s,https://www.tiktok.com/@lukinhabast0s,Lukinha Bastos,2.3M,5.2M,341K,5.5K,2.3K
174,baylebee,https://www.tiktok.com/@baylebee,Baylebee 🐝,3.8M,3.9M,513K,4K,2.8K
175,therealfemtom,https://www.tiktok.com/@therealfemtom,Jack Chalmers,1.3M,2.4M,436K,7.4K,5.8K
176,jimmydarts,https://www.tiktok.com/@jimmydarts,Jimmy Darts,8.7M,3.9M,593K,4.7K,1.1K
177,aurikatariina,https://www.tiktok.com/@aurikatariina,ᴀᴜʀɪ ✨,7.5M,7.9M,555.6K,2K,1.2K
178,jwpina,https://www.tiktok.com/@jwpina,Jacob Pina,2.3M,7.6M,268.2K,4.5K,2.1K
179,pipkochel,https://www.tiktok.com/@pipkochel,Pip Kochel,1.8M,3M,511.9K,2.9K,6.1K
180,druskitv,https://www.tiktok.com/@druskitv,DRUSKI,3.5M,3.6M,346.1K,1.9K,8.7K
181,lia_thegolden,https://www.tiktok.com/@lia_thegolden,Lia 💖,171.5K,2.7M,555.5K,950,7.9K
182,nurd.ss,https://www.tiktok.com/@nurd.ss,Нурд,14.9K,4.4M,682.4K,2.4K,1.8K
183,alphonsodavies,https://www.tiktok.com/@alphonsodavies,Alphonso Davies,6.2M,4.6M,616.3K,3.1K,1.3K
184,calebrownn,https://www.tiktok.com/@calebrownn,Cale Brown,5.4M,3M,394.3K,2.5K,7.9K
185,ehlija,https://www.tiktok.com/@ehlija,Eh Lija,4.2M,3.8M,460.5K,3.4K,3.7K
186,arigameplays,https://www.tiktok.com/@arigameplays,AriGameplays,22.3M,4.4M,686.7K,2.9K,1.1K
187,thehealchef,https://www.tiktok.com/@thehealchef,Harry Heal,2M,3.4M,467.2K,3.9K,3.8K
188,nilered,https://www.tiktok.com/@nilered,NileRed,9.8M,4M,628.1K,3.4K,1.4K
189,danythegaggio,https://www.tiktok.com/@danythegaggio,Daniele Cabras,3.1M,2.5M,309K,2.5K,12.7K
190,andcarli,https://www.tiktok.com/@andcarli,Anderson Carli,9.5M,11.5M,369.6K,1.9K,821
191,fedevigevani,https://www.tiktok.com/@fedevigevani,Fede Vigevani,13.7M,4M,537.6K,4.4K,975
192,ferchugimenez,https://www.tiktok.com/@ferchugimenez,Fernanda,6.5M,4.9M,795K,1.6K,1.4K
193,mideosyt,https://www.tiktok.com/@mideosyt,Mideos,208.6K,1.9M,344.4K,7.3K,10.4K
194,dylanpage.ning,https://www.tiktok.com/@dylanpage.ning,Dylan Page,3M,2.9M,421K,5.8K,3.6K
195,adrianbliss,https://www.tiktok.com/@adrianbliss,Adrian Bliss,6.4M,7.2M,458K,1.4K,2.1K
196,maxtaylorlifts,https://www.tiktok.com/@maxtaylorlifts,Max Taylor,8.4M,3.3M,565.7K,3.6K,2.6K
197,rah_money1,https://www.tiktok.com/@rah_money1,General ock,3.2M,3.6M,485.6K,2.7K,3.8K
198,nianaguerrero,https://www.tiktok.com/@nianaguerrero,Niana Guerrero,32.3M,3.9M,607.7K,2.6K,2.1K
199,vidhia_r,https://www.tiktok.com/@vidhia_r,Vidhi_R,7M,3.4M,352.5K,6K,3.5K
200,fhd.artz,https://www.tiktok.com/@fhd.artz,فهد آرت || Fahad🎨,1.8M,4M,317.2K,6.9K,1.9K
201,tuckerbudzyn,https://www.tiktok.com/@tuckerbudzyn,tuckerbudzyn,10.3M,2M,410K,2K,11.5K
202,soysuco_ff,https://www.tiktok.com/@soysuco_ff,Suco Ismael,3.7M,3.4M,430.5K,6.6K,981
203,nourmar5,https://www.tiktok.com/@nourmar5,nourmar5,14.5M,2.5M,201.7K,13.7K,8.1K
204,augustogimenez,https://www.tiktok.com/@augustogimenez,AugustoGimenez,12.9M,5.9M,783.4K,1.6K,724
205,eyavanana,https://www.tiktok.com/@eyavanana,Eya,12.4M,4.4M,672.3K,2.7K,918
206,yunggravy,https://www.tiktok.com/@yunggravy,Yung Gravy 🍯,4.5M,2.9M,611.3K,2.9K,3.1K
207,keniaos,https://www.tiktok.com/@keniaos,KeniaOs,14.7M,3M,546K,5K,1.4K
208,enzomk_,https://www.tiktok.com/@enzomk_,enzomk,941.3K,3.1M,273.3K,1.2K,11.1K
209,thatlittlepuff,https://www.tiktok.com/@thatlittlepuff,ThatLittlePuff,29M,6.4M,610.9K,1.4K,1.2K
210,itsthescotts,https://www.tiktok.com/@itsthescotts,The Scotts,6.3M,3.3M,461.9K,1.5K,5.2K
211,mikaelatesta,https://www.tiktok.com/@mikaelatesta,Mikaela Testa,2.1M,3.9M,668.5K,2.5K,1.4K
212,mariabecerra_22,https://www.tiktok.com/@mariabecerra_22,Maria Becerra,7M,3.8M,602.8K,2.4K,2K
213,somi_official_,https://www.tiktok.com/@somi_official_,JEON SOMI,6.7M,2.8M,540.9K,3.6K,3.1K
214,the.historical,https://www.tiktok.com/@the.historical,History Footage,201.5K,2.9M,346.2K,4.8K,5.1K
215,jacksonwang,https://www.tiktok.com/@jacksonwang,Jackson Wang 王嘉爾 잭슨,5M,1.6M,417.1K,9.3K,5.5K
216,matheusevitoriaofc,https://www.tiktok.com/@matheusevitoriaofc,Matheus e Vitoria,7.9M,3.5M,460.3K,2.4K,3.7K
217,gordonramsayofficial,https://www.tiktok.com/@gordonramsayofficial,Gordon Ramsay,32.9M,4.7M,435.6K,3.5K,1.2K
218,carolinarinconf,https://www.tiktok.com/@carolinarinconf,carolina,5.5M,3.1M,396.8K,3.6K,4.1K
219,cavalo.do_rock,https://www.tiktok.com/@cavalo.do_rock,daniel molo oficial,160.3K,1.4M,305.2K,7.8K,14.8K
220,alwanr__,https://www.tiktok.com/@alwanr__,AlwanRK,5.9M,5.5M,494.2K,1.9K,1.6K
221,alexiadox,https://www.tiktok.com/@alexiadox,Alexia Dox,1.2M,2.3M,363.1K,2K,9.1K
222,gheayoubi08,https://www.tiktok.com/@gheayoubi08,Gheayoubi,8.5M,4.4M,310.9K,2.7K,4K
223,davejoshuad,https://www.tiktok.com/@davejoshuad,Dave Joshua,119K,2.6M,493.4K,3.6K,3.5K
224,sidequestz,https://www.tiktok.com/@sidequestz,GIDEON,265.9K,2.3M,294.1K,1.5K,11.5K
225,ig_alongwiranda,https://www.tiktok.com/@ig_alongwiranda,🕌🏃,880.7K,3.2M,129.4K,1.2K,20K
226,novitasr_02,https://www.tiktok.com/@novitasr_02,Novita Sari,9.2M,5M,214.9K,2.9K,5.2K
227,fujiiian,https://www.tiktok.com/@fujiiian,Fuji,15.8M,4.1M,496K,2.3K,1.9K
228,pablitocastilloo,https://www.tiktok.com/@pablitocastilloo,pablitocastilloo,5.3M,2.4M,232.4K,1.5K,13.8K
229,zakmauser,https://www.tiktok.com/@zakmauser,zakmauser,1.3M,4.3M,528.4K,2.8K,925
230,tifannylm,https://www.tiktok.com/@tifannylm,⚡️TEF,8.5M,4.7M,628.9K,2.1K,827
231,pepperonimuffin,https://www.tiktok.com/@pepperonimuffin,Kirsten Titus,7.5M,4.8M,747.1K,1.8K,591
